,Accion,P_A,Target,Vencmt.,Opcion_cotizacion,Vol,Teorico,%VT
0,ALUA,67.4,31.0,1639710000.0,33.7,0.3358,38.45,87.65
1,ALUA,67.4,61.0,1639710000.0,10.0,0.3358,11.05,90.5
2,ALUA,67.4,69.0,1639710000.0,5.0,0.3358,5.61,89.13
3,ALUA,67.4,71.0,1639710000.0,4.0,0.3358,4.58,87.34
4,ALUA,67.4,73.0,1639710000.0,2.45,0.3358,3.69,66.4
5,ALUA,67.4,75.0,1639710000.0,2.54,0.3358,2.94,86.39
6,BMA,331.0,230.0,1639710000.0,90.0,0.4982999999999999,116.8,77.05
7,BMA,331.0,250.0,1639710000.0,80.0,0.4982999999999999,99.1,80.73
8,BMA,331.0,300.0,1639710000.0,55.0,0.4982999999999999,59.79,91.99
9,BMA,331.0,360.0,1639710000.0,15.0,0.4982999999999999,27.15,55.25
10,CEPU,73.1,44.0,1639710000.0,31.0,0.6,32.09,96.6
11,CEPU,73.1,48.0,1639710000.0,16.0,0.6,28.48,56.18
12,CEPU,73.1,50.0,1639710000.0,24.0,0.6,26.72,89.82
13,CEPU,73.1,62.0,1639710000.0,16.0,0.6,17.06,93.79
14,CEPU,73.1,64.0,1639710000.0,14.45,0.6,15.66,92.27
15,CEPU,73.1,66.0,1639710000.0,9.5,0.6,14.33,66.29
16,COME,5.37,6.49,1637290800.0,0.025,0.3502,0.03,83.33
17,COME,5.37,4.49,1639710000.0,1.138,0.3502,1.2,94.83
18,COME,5.37,5.29,1639710000.0,0.52,0.3502,0.58,89.66
19,COME,5.37,5.49,1639710000.0,0.42,0.3502,0.46,91.3
20,COME,5.37,5.69,1639710000.0,0.352,0.3502,0.36,97.78
21,COME,5.37,6.09,1639710000.0,0.2,0.3502,0.21,95.24
22,COME,5.37,6.29,1639710000.0,0.155,0.3502,0.16,96.88
23,COME,5.37,6.29,1645153200.0,0.4,0.3502,0.43,93.02
24,CRES,107.0,103.0,1639710000.0,14.0,0.4467,14.62,95.76
25,CRES,107.0,108.0,1639710000.0,8.0,0.4467,11.72,68.26
26,CRES,107.0,118.0,1639710000.0,5.999,0.4467,7.16,83.78
27,CRES,107.0,74.0,1645153200.0,22.0,0.4467,42.86,51.33
28,CRES,107.0,118.0,1645153200.0,10.0,0.4467,14.04,71.23
29,EDN,65.4,66.0,1639710000.0,8.0,0.6,8.84,90.5
30,GGAL,203.4,84.0,1639710000.0,108.0,0.478,124.95,86.43
31,GGAL,203.4,87.0,1639710000.0,105.471,0.478,122.15,86.35
32,GGAL,203.4,90.0,1639710000.0,102.729,0.478,119.35,86.07
33,GGAL,203.4,93.0,1639710000.0,99.988,0.478,116.55,85.79
34,GGAL,203.4,96.0,1639710000.0,97.246,0.478,113.75,85.49
35,GGAL,203.4,99.0,1639710000.0,94.506,0.478,110.95,85.18
36,GGAL,203.4,111.0,1639710000.0,83.799,0.478,99.74,84.02
37,GGAL,203.4,129.0,1639710000.0,82.484,0.478,83.01,99.37
38,GGAL,203.4,132.0,1639710000.0,75.0,0.478,80.24,93.47
39,GGAL,203.4,135.0,1639710000.0,67.0,0.478,77.48,86.47
40,GGAL,203.4,140.0,1639710000.0,71.15,0.478,72.9,97.6
41,GGAL,203.4,145.0,1639710000.0,67.941,0.478,68.38,99.36
42,GGAL,203.4,150.0,1639710000.0,57.2,0.478,63.91,89.5
43,GGAL,203.4,155.0,1639710000.0,55.0,0.478,59.52,92.41
44,GGAL,203.4,160.0,1639710000.0,50.0,0.478,55.23,90.53
45,GGAL,203.4,165.0,1639710000.0,38.1,0.478,51.05,74.63
46,GGAL,203.4,170.0,1639710000.0,45.0,0.478,46.99,95.77
47,GGAL,203.4,175.0,1639710000.0,41.299,0.478,43.09,95.84
48,GGAL,203.4,180.0,1639710000.0,37.0,0.478,39.35,94.03
49,GGAL,203.4,185.0,1639710000.0,33.25,0.478,35.78,92.93
50,GGAL,203.4,190.0,1639710000.0,29.5,0.478,32.41,91.02
51,GGAL,203.4,195.0,1639710000.0,26.15,0.478,29.23,89.46
52,GGAL,203.4,200.0,1639710000.0,23.0,0.478,26.26,87.59
53,GGAL,203.4,210.0,1639710000.0,17.9,0.478,20.94,85.48
54,GGAL,203.4,220.0,1639710000.0,13.51,0.478,16.44,82.18
55,GGAL,203.4,230.0,1639710000.0,10.5,0.478,12.72,82.55
56,GGAL,203.4,240.0,1639710000.0,8.15,0.478,9.71,83.93
57,GGAL,203.4,250.0,1639710000.0,6.2,0.478,7.32,84.7
58,GGAL,203.4,260.0,1639710000.0,4.77,0.478,5.45,87.52
59,GGAL,203.4,270.0,1639710000.0,3.65,0.478,4.01,91.02
60,GGAL,203.4,280.0,1639710000.0,2.851,0.478,2.93,97.3
61,GGAL,203.4,230.0,1645153200.0,23.0,0.478,25.89,88.84
62,GGAL,203.4,250.0,1645153200.0,18.0,0.478,18.85,95.49
63,GGAL,203.4,260.0,1645153200.0,13.0,0.478,15.98,81.35
64,HARG,171.5,180.0,1639710000.0,8.0,0.368,12.95,61.78
65,LOMA,282.4,285.0,1639710000.0,12.0,0.2779,23.26,51.59
66,PAMP,151.5,129.0,1639710000.0,30.0,0.5582,34.31,87.44
67,PAMP,151.5,133.0,1639710000.0,28.0,0.5582,31.45,89.03
68,PAMP,151.5,137.0,1639710000.0,24.9,0.5582,28.73,86.67
69,PAMP,151.5,145.0,1639710000.0,17.0,0.5582,23.74,71.61
70,PAMP,151.5,149.0,1639710000.0,14.183,0.5582,21.47,66.06
