,Accion,Cotizacion,Tipo_opcion,Target,Vencimiento,Opcion_cotizacion,volatilidad
0,AGRO,41.5,Call,26.00,17/12/2021,0.0,
1,AGRO,41.5,Put,26.00,17/12/2021,0.0,
2,AGRO,41.5,Put,28.00,17/12/2021,0.0,
3,AGRO,41.5,Call,28.00,17/12/2021,0.0,
4,AGRO,41.5,Put,32.00,17/12/2021,0.0,
5,AGRO,41.5,Call,32.00,17/12/2021,0.0,
6,AGRO,41.5,Put,33.00,17/12/2021,0.0,
7,AGRO,41.5,Call,33.00,17/12/2021,11.0,
8,AGRO,41.5,Call,34.00,17/12/2021,8.0,
9,AGRO,41.5,Put,34.00,17/12/2021,0.0,
10,AGRO,41.5,Call,35.00,17/12/2021,0.0,
11,AGRO,41.5,Put,35.00,17/12/2021,0.0,
12,AGRO,41.5,Call,36.00,17/12/2021,0.0,
13,AGRO,41.5,Put,36.00,17/12/2021,0.0,
14,AGRO,41.5,Put,37.00,17/12/2021,0.0,
15,AGRO,41.5,Call,37.00,17/12/2021,0.0,
16,AGRO,41.5,Call,38.00,17/12/2021,7.0,
17,AGRO,41.5,Put,38.00,17/12/2021,0.0,
18,AGRO,41.5,Call,26.00,18/02/2022,0.0,
19,AGRO,41.5,Put,26.00,18/02/2022,0.0,
20,AGRO,41.5,Put,28.00,18/02/2022,0.0,
21,AGRO,41.5,Call,28.00,18/02/2022,0.0,
22,AGRO,41.5,Put,32.00,18/02/2022,0.0,
23,AGRO,41.5,Call,32.00,18/02/2022,0.0,
24,AGRO,41.5,Put,33.00,18/02/2022,0.0,
25,AGRO,41.5,Call,33.00,18/02/2022,0.0,
26,AGRO,41.5,Call,34.00,18/02/2022,0.0,
27,AGRO,41.5,Put,34.00,18/02/2022,0.0,
28,AGRO,41.5,Call,35.00,18/02/2022,0.0,
29,AGRO,41.5,Put,35.00,18/02/2022,0.0,
30,AGRO,41.5,Call,36.00,18/02/2022,0.0,
31,AGRO,41.5,Put,36.00,18/02/2022,0.0,
32,AGRO,41.5,Put,37.00,18/02/2022,0.0,
33,AGRO,41.5,Call,37.00,18/02/2022,0.0,
34,AGRO,41.5,Call,38.00,18/02/2022,0.0,
35,AGRO,41.5,Put,38.00,18/02/2022,0.0,
36,ALUA,90.0,Call,30.00,17/12/2021,62.0,0.4508
37,ALUA,90.0,Put,30.00,17/12/2021,0.0,0.4508
38,ALUA,90.0,Call,49.00,17/12/2021,0.0,0.4508
39,ALUA,90.0,Call,51.00,17/12/2021,0.0,0.4508
40,ALUA,90.0,Put,51.00,17/12/2021,0.0,0.4508
41,ALUA,90.0,Put,53.00,17/12/2021,0.0,0.4508
42,ALUA,90.0,Call,53.00,17/12/2021,0.0,0.4508
43,ALUA,90.0,Call,54.00,17/12/2021,48.9,0.4508
44,ALUA,90.0,Put,54.00,17/12/2021,0.0,0.4508
45,ALUA,90.0,Put,57.00,17/12/2021,0.0,0.4508
46,ALUA,90.0,Call,57.00,17/12/2021,0.0,0.4508
47,ALUA,90.0,Call,58.00,17/12/2021,31.933,0.4508
48,ALUA,90.0,Put,58.00,17/12/2021,0.21,0.4508
49,ALUA,90.0,Call,60.00,17/12/2021,34.0,0.4508
50,ALUA,90.0,Put,60.00,17/12/2021,0.0,0.4508
51,ALUA,90.0,Call,62.00,17/12/2021,33.51,0.4508
52,ALUA,90.0,Put,62.00,17/12/2021,0.0,0.4508
53,ALUA,90.0,Call,64.00,17/12/2021,25.854,0.4508
54,ALUA,90.0,Put,64.00,17/12/2021,0.0,0.4508
55,ALUA,90.0,Call,66.00,17/12/2021,33.196,0.4508
56,ALUA,90.0,Put,66.00,17/12/2021,0.001,0.4508
57,ALUA,90.0,Call,68.00,17/12/2021,20.0,0.4508
58,ALUA,90.0,Put,68.00,17/12/2021,0.0,0.4508
59,ALUA,90.0,Call,70.00,17/12/2021,22.0,0.4508
60,ALUA,90.0,Put,70.00,17/12/2021,0.0,0.4508
61,ALUA,90.0,Call,72.00,17/12/2021,22.662,0.4508
62,ALUA,90.0,Put,72.00,17/12/2021,0.281,0.4508
63,ALUA,90.0,Call,74.00,17/12/2021,18.89,0.4508
64,ALUA,90.0,Put,74.00,17/12/2021,0.4,0.4508
65,ALUA,90.0,Call,76.00,17/12/2021,24.364,0.4508
66,ALUA,90.0,Put,76.00,17/12/2021,0.114,0.4508
67,ALUA,90.0,Call,78.00,17/12/2021,13.0,0.4508
68,ALUA,90.0,Put,78.00,17/12/2021,0.196,0.4508
69,ALUA,90.0,Put,83.00,17/12/2021,0.167,0.4508
70,ALUA,90.0,Call,83.00,17/12/2021,10.0,0.4508
71,ALUA,90.0,Call,87.00,17/12/2021,0.0,0.4508
72,ALUA,90.0,Put,87.00,17/12/2021,1.01,0.4508
73,ALUA,90.0,Put,91.00,17/12/2021,4.0,0.4508
74,ALUA,90.0,Call,91.00,17/12/2021,9.134,0.4508
75,ALUA,90.0,Put,95.00,17/12/2021,5.72,0.4508
76,ALUA,90.0,Call,95.00,17/12/2021,2.149,0.4508
77,ALUA,90.0,Put,100.00,17/12/2021,0.0,0.4508
78,ALUA,90.0,Call,100.00,17/12/2021,1.6,0.4508
79,ALUA,90.0,Call,105.00,17/12/2021,5.05,0.4508
