,Accion,P_A,Target,Vencmt.,Opcion_cotizacion,Vol,Teorico,%VT
0,ALUA,90.0,78.0,2022-04-15,8.0,0.4508,25.31,31.61
1,ALUA,90.0,60.0,2022-04-15,19.0,0.4508,38.94,48.79
2,TXAR,126.0,90.0,2021-12-17,20.75,0.4440999999999999,38.28,54.21
3,TXAR,126.0,78.0,2021-12-17,28.0,0.4440999999999999,49.97,56.03
4,TECO2,217.5,153.52,2021-12-17,40.0,0.3365999999999999,67.86,58.94
5,ALUA,90.0,83.0,2022-04-15,13.6,0.4508,22.04,61.71
6,ALUA,90.0,79.0,2022-02-18,12.595,0.4508,19.89,63.32
7,ALUA,90.0,95.0,2021-12-17,2.149,0.4508,3.32,64.73
8,TXAR,126.0,115.0,2021-12-17,10.1,0.4440999999999999,15.21,66.4
9,BYMA,846.5,870.0,2021-12-17,20.0,0.3152,28.47,70.25
10,TXAR,126.0,120.0,2021-12-17,8.36,0.4440999999999999,11.48,72.82
11,TXAR,126.0,115.0,2022-04-15,23.0,0.4440999999999999,31.47,73.09
12,BMA,307.35,300.0,2022-04-15,50.0,0.4760999999999999,66.93,74.7
13,COME,5.6,6.49,2021-12-17,0.03,0.3801,0.04,75.0
14,CRES,99.0,74.0,2022-02-18,23.9,0.3634,31.81,75.13
15,YPFD,824.0,920.0,2022-02-18,51.4,0.4245,67.8,75.81
16,TXAR,126.0,100.0,2021-12-17,23.0,0.4440999999999999,28.61,80.39
17,COME,5.6,4.09,2021-12-17,1.3,0.3801,1.61,80.75
18,TXAR,126.0,140.0,2021-12-17,2.0,0.4440999999999999,2.46,81.3
19,ALUA,90.0,68.0,2021-12-17,20.0,0.4508,23.74,84.25
20,GGAL,203.8,220.0,2021-12-17,5.84,0.4911999999999999,6.7,87.16
21,GGAL,203.8,210.0,2021-12-17,9.2,0.4911999999999999,10.53,87.37
22,GGAL,203.8,210.0,2022-02-18,24.0,0.4911999999999999,27.37,87.69
23,GGAL,203.8,185.0,2021-12-17,22.9,0.4911999999999999,26.03,87.98
24,GGAL,203.8,220.0,2022-02-18,20.0,0.4911999999999999,22.72,88.03
25,GGAL,203.8,230.0,2022-02-18,16.5,0.4911999999999999,18.69,88.28
26,ALUA,90.0,100.0,2021-12-17,1.6,0.4508,1.81,88.4
27,GGAL,203.8,200.0,2021-12-17,13.999,0.4911999999999999,15.71,89.11
28,ALUA,90.0,78.0,2021-12-17,13.0,0.4508,14.38,90.4
29,GGAL,203.8,195.0,2021-12-17,17.17,0.4911999999999999,18.83,91.18
30,COME,5.6,5.69,2021-12-17,0.24,0.3801,0.26,92.31
31,TXAR,126.0,96.0,2021-12-17,30.0,0.4440999999999999,32.46,92.42
32,PAMP,153.9,145.0,2021-12-17,14.1,0.4523,15.24,92.52
33,GGAL,203.8,250.0,2022-02-18,11.5,0.4911999999999999,12.37,92.97
34,PAMP,153.9,157.0,2021-12-17,7.5,0.4523,8.03,93.4
35,ALUA,90.0,64.0,2021-12-17,25.854,0.4508,27.62,93.61
36,GGAL,203.8,230.0,2021-12-17,3.81,0.4911999999999999,4.06,93.84
37,GGAL,203.8,190.0,2021-12-17,21.05,0.4911999999999999,22.27,94.52
38,TXAR,126.0,98.0,2021-12-17,29.0,0.4440999999999999,30.53,94.99
39,GGAL,203.8,180.0,2021-12-17,28.6,0.4911999999999999,30.06,95.14
40,PAMP,153.9,125.0,2021-12-17,30.706,0.4523,32.26,95.18
41,GGAL,203.8,260.0,2022-02-18,9.5,0.4911999999999999,9.96,95.38
42,ALUA,90.0,58.0,2021-12-17,31.933,0.4508,33.47,95.41
43,PAMP,153.9,149.0,2021-12-17,12.0,0.4523,12.52,95.85
44,COME,5.6,6.09,2021-12-17,0.106,0.3801,0.11,96.36
45,YPFD,824.0,800.0,2021-12-17,61.66,0.4245,63.44,97.19
46,ALUA,90.0,83.0,2021-12-17,10.0,0.4508,10.23,97.75
47,BYMA,846.5,830.0,2021-12-17,50.0,0.3152,51.11,97.83
48,GGAL,203.8,240.0,2022-02-18,15.0,0.4911999999999999,15.26,98.3
49,GGAL,203.8,140.0,2021-12-17,66.281,0.4911999999999999,67.35,98.41
50,TXAR,126.0,104.0,2021-12-17,24.465,0.4440999999999999,24.83,98.53
51,PAMP,153.9,117.0,2021-12-17,39.344,0.4523,39.9,98.61
52,COME,5.6,4.89,2022-02-18,1.2,0.3801,1.21,99.17
53,GGAL,203.8,132.0,2021-12-17,75.0,0.4911999999999999,75.14,99.81
54,GGAL,203.8,160.0,2021-12-17,48.0,0.4911999999999999,48.05,99.9
